"Année civile","Type","Nombre de kilomètres parcourus en théorie"
"2004","Fer TER","7364133"
"2005","Fer TER","7809400"
"2006","Fer TER","7814002"
"2007","Fer TER","7782600"
"2008","Fer TER","8018178"
"2009","Fer TER","7953552"
"2010","Fer TER","8002113"
"2011","Fer TER","8365830"
"2012","Fer TER","8608946"
"2013","Fer TER","8976741"
"2014","Fer TER","9297250"
"2004","Car TER","619700"
"2005","Car TER","623700"
"2006","Car TER","574700"
"2007","Car TER","582100"
"2008","Car TER","627343"
"2009","Car TER","579653"
"2010","Car TER","492498"
"2011","Car TER","404267"
"2012","Car TER","407109"
"2013","Car TER","347864"
"2014","Car TER","345348"
"2004","Car Région offre normale","1087613"
"2005","Car Région offre normale","1648654"
"2006","Car Région offre normale","2103518"
"2007","Car Région offre normale","2122229"
"2008","Car Région offre normale","2186441"
"2009","Car Région offre normale","2200951"
"2010","Car Région offre normale","2286976"
"2011","Car Région offre normale","2282901"
"2012","Car Région offre normale","2353099"
"2013","Car Région offre normale","2321268"
"2014","Car Région offre normale","2386380"
